,PSERM average,Library
952,-1.73892772,0
953,-1.562211574,0
954,-2.027835691,0
955,-1.453839877,0
956,-2.676515836,0
957,-1.943786195,0
958,-2.399901493,0
959,-2.450658238,0
960,-3.094570311,0
961,-1.433510743,0
962,-2.098245622,0
963,-1.721739848,0
964,-2.058345095,0
965,-1.712317347,0
966,-1.956527881,0
967,-1.479942948,0
968,-1.903683664,0
969,-2.066975143,0
970,-1.684245288,0
971,-1.924332766,0
972,-2.191157593,0
973,-2.351203734,0
974,-2.360298995,0
975,-1.893565504,0
976,-1.636227638,0
977,-2.136524876,0
978,-2.085838282,0
979,-1.550201521,0
980,-1.091653972,0
981,-2.37499267,0
982,-1.319518381,0
983,-2.529774435,0
984,-1.02626549,0
985,-0.3698913,0
986,-0.605816887,0
987,-1.189206108,0
988,-1.345390685,0
989,-2.687255607,0
990,-2.284081884,0
991,-2.138815026,0
992,-1.466187831,0
993,-1.625075296,0
994,-1.768933626,0
995,-1.389327364,0
996,-1.468079645,0
997,-1.484826451,0
998,-1.723545728,0
999,-2.19362405,0
1000,-1.809629973,0
1001,-1.530237317,0
1002,-1.322801799,0
1003,-2.173542343,0
1004,-1.979631248,0
1005,-0.879571911,0
1006,-1.731475143,0
1007,-1.20183312,0
1008,-1.891396379,0
1009,-1.158120366,0
1010,-1.845845627,0
1011,-2.34698759,0
1012,-2.180411223,0
1013,-1.880385498,0
1014,-1.776530709,0
1015,-2.265003881,0
1016,-1.475909802,0
1017,-2.291159035,0
1018,-1.032671919,0
1019,-1.829415303,0
1020,-1.765615393,0
1021,-1.558121322,0
1022,-1.568492659,0
1023,-1.515423643,0
1024,-0.642795458,0
1025,-2.208778354,0
1026,-1.613211028,0
1027,-2.344310066,0
1028,-2.087307667,0
1029,-2.706026382,0
1030,-2.090463652,0
1031,-2.268365465,0
1032,-2.44716131,0
1033,-2.671765035,0
1034,-2.647076819,0
1035,-1.185639352,0
1036,-1.7055514,0
1037,-2.043290509,0
1038,-2.505347059,0
1039,-2.406155258,0
1040,-1.11413636,0
1041,-1.965831157,0
1042,-1.454881104,0
1043,-1.079213461,0
1044,-2.063628453,0
1045,-1.928863046,0
1046,-1.768443442,0
1047,-1.750937829,0
1048,-1.433624363,0
1049,-1.697124605,0
1050,-1.784862611,0
1051,-0.910240623,0
1052,-1.793944988,0
1053,-1.298402046,0
1054,-1.847814575,0
1055,-1.962093566,0
1056,-2.166410776,0
1057,-2.024668399,0
1058,-2.584240717,0
1059,-1.730099433,0
1060,-1.961610842,0
1061,-1.950017071,0
1062,-1.96801289,0
1063,-1.380781488,0
1064,-2.428021359,0
1065,-1.174204678,0
1066,-1.6200986,0
1067,-1.596904174,0
1068,-2.246461908,0
1069,-1.323355044,0
1070,-2.996445371,0
1071,-2.45266265,0
1072,-1.444792453,0
1073,-2.182374012,0
1074,-1.815428669,0
1075,-2.213290352,0
1076,-1.928840794,0
1077,-2.188408441,0
1078,-2.116142721,0
1079,-1.65958425,0
1080,-1.428734815,0
1081,-2.239819807,0
1082,-1.710654585,0
1083,-1.727678268,0
1084,-1.853228167,0
1085,-1.845827587,0
1086,-1.832960136,0
1087,-1.319831165,0
1088,-1.455458725,0
1089,-2.49242862,0
1090,-1.651112101,0
1091,-1.422603323,0
1092,-2.432272877,0
1093,-1.894723733,0
1094,-2.739474634,0
1095,-2.051737229,0
1096,-1.680659855,0
1097,-1.767856621,0
1098,-1.556637523,0
1099,-2.396774855,0
1100,-2.290235241,0
1101,-2.5557735,0
1102,-1.115587738,0
1103,-1.890778333,0
1104,-1.827013016,0
1105,-2.292962422,0
1106,-2.217488666,0
1107,-1.417168318,0
1108,-1.919500169,0
1109,-1.543371143,0
1110,-2.036989619,0
1111,-2.459187945,0
1112,-1.599195739,0
1113,-1.848145817,0
1114,-0.963880391,0
1115,-1.844659661,0
1116,-2.416907025,0
1117,-1.108753002,0
1118,-1.143574428,0
1119,-1.756728508,0
1120,-2.701312743,0
1121,-2.107874101,0
1122,-2.304238235,0
1123,-2.306131624,0
1124,-1.836988401,0
1125,-0.889775159,0
1126,-1.821014699,0
1127,-1.632539412,0
1128,-0.939694366,0
1129,-2.538900238,0
1130,-0.581133466,0
1131,-2.03549143,0
1132,-2.055713906,0
1133,-2.771051543,0
1134,-2.483797329,0
1135,-1.335703081,0
1136,-2.900042695,0
1137,-2.687987245,0
1138,-1.23792072,0
1139,-2.825718002,0
1140,-2.339834473,0
1141,-2.238739707,0
1142,-2.195216347,0
1143,-2.210032566,0
1144,-1.763418655,0
1145,-1.630811287,0
1146,-2.312401588,0
1147,-1.597077582,0
1148,-2.48655653,0
1149,-1.742282549,0
1150,-1.814689395,0
1151,-1.396817366,0
1152,-1.131248734,0
1153,-0.995366165,0
1154,-1.48005844,0
1155,-1.828953406,0
1156,-2.547538153,0
1157,-2.327212608,0
1158,-1.491169216,0
1159,-2.083703451,0
1160,-2.02916376,0
1161,-2.811017207,0
1162,-1.86742626,0
1163,-1.236965289,0
1164,-1.758334535,0
1165,-1.178267473,0
1166,-1.813236271,0
1167,-1.968789172,0
1168,-2.211418996,0
1169,-2.011577071,0
1170,-0.524228751,0
1171,-0.989832492,0
1172,-3.018781571,0
1173,-1.593647049,0
1174,-1.18610906,0
1175,-1.486364668,0
1176,-1.905554951,0
1177,-1.290072093,0
1178,-1.811320078,0
1179,-2.513759278,0
1180,-2.315642338,0
1181,-1.801438179,0
1182,-2.972686809,0
1183,-1.94472548,0
1184,-1.579720301,0
1185,-1.560040382,0
1186,-1.519620406,0
1187,-1.093808208,0
1188,-2.028357722,0
1189,-2.322237915,0
1190,-2.208988118,0
1191,-1.956444637,0
1192,-1.902202543,0
1193,-2.46558521,0
1194,-2.421909331,0
1195,-1.156339938,0
1196,-1.185879602,0
1197,-2.864733228,0
1198,-1.837831054,0
1199,-1.207453969,0
1200,-2.286463548,0
1201,-1.262595014,0
1202,-1.980304579,0
1203,-1.026161806,0
1204,-1.593351572,0
1205,-2.171441849,0
1206,-0.57005571,0
1207,-2.101623097,0
1208,-2.931648543,0
1209,-1.638561661,0
1210,-1.983705039,0
1211,-2.470573508,0
1212,-1.729743915,0
1213,-1.8893801,0
1214,-2.411005726,0
1215,-2.300238215,0
1216,-2.055739091,0
1217,-1.886271489,0
1218,-0.840077285,0
1219,-2.253039273,0
1220,-2.101719154,0
1221,-2.053932717,0
1222,-2.765462117,0
1223,-2.253834107,0
1224,-1.799775338,0
1225,-2.94192398,0
1226,-1.393981507,0
1227,-2.606777866,0
1228,-2.232827142,0
1229,-1.368170197,0
1230,-1.728454455,0
1231,-1.603987139,0
1232,-2.43920157,0
1233,-1.876933255,0
1234,-1.95076895,0
1235,-2.098324896,0
1236,-1.53618767,0
1237,-2.970276954,0
1238,-2.455434647,0
1239,-1.162475934,0
1240,-1.973989636,0
1241,-2.113148689,0
1242,-1.912779254,0
1243,-2.290759329,0
1244,-1.800828819,0
1245,-1.4231189,0
